id,name,name_en,name_cn,x_pos,y_pos,address,parking_count
ST0472,도룡동 LG대전어린이집,도룡동 LG대전어린이집,도룡동 LG대전어린이집,36.385872,127.376789,도룡동 386-1,3
ST0473,자운동 농부의갈비,자운동 농부의갈비,자운동 농부의갈비,36.395450,127.352050,자운동 572,2
ST0474,구봉마을 9단지(904동),구봉마을 9단지(904동),구봉마을 9단지(904동),36.296097,127.331440,관저동 1155,0
ST0475,구봉마을 8단지(805동),구봉마을 8단지(805동),구봉마을 8단지(805동),36.296389,127.331400,관저동 1148,0
ST0477,대화동 대전병원(GS25),대화동 대전병원(GS25),대화동 대전병원(GS25),36.362747,127.417977,대전광역시 대덕구 오정동 10-102,0
ST0478,대화동 두리웨딩홀,대화동 두리웨딩홀,대화동 두리웨딩홀,36.367275,127.419301,대화동 16-12,1
ST0479,대화동 만민어린이집,대화동 만민어린이집,대화동 만민어린이집,36.367763,127.416405,대화동 37-1,0
ST0480,대화동 오광무지개아파트 3가,대화동 오광무지개아파트 3가,대화동 오광무지개아파트 3가,36.364560,127.410347,대화동 251-5(국),2
ST0481,대화동 대화아파트 건너편,대화동 대화아파트 건너편,대화동 대화아파트 건너편,36.367829,127.414137,대화동 1-30,1
ST0482,구암역 3번출구,구암역 3번출구,구암역 3번출구,36.356438,127.331084,구암동 96-3,1
ST0483,구암동 신성빌라,구암동 신성빌라,구암동 신성빌라,36.356485,127.331782,구암동 585-13,0
ST0484,장대노인회관,장대노인회관,장대노인회관,36.359474,127.333415,장대동 269-11,1
ST0485,장대동 동자산어린이공원,장대동 동자산어린이공원,장대동 동자산어린이공원,36.360824,127.333690,장대동 480,1
ST0486,장대동 공영주차장,장대동 공영주차장,장대동 공영주차장,36.359612,127.331944,장대동 263-4,0
ST0487,장대공원,장대공원,장대공원,36.358465,127.337364,장대동 283-5,1
ST0488,장대경로당,장대경로당,장대경로당,36.358896,127.335469,장대동 279-4,0
ST0489,문화동 충청남도과학직업교육원,문화동 충청남도과학직업교육원,문화동 충청남도과학직업교육원,36.314167,127.411108,문화동 271,0
